id,word,frequency,rating,year
12266,able,2,4,2019
10769,about,3,1,2019
11722,about,4,3,2019
12645,about,2,4,2019
12392,across,2,4,2019
11508,added,2,3,2019
10916,after,3,1,2019
11354,after,3,3,2019
12032,after,3,4,2019
11782,again,2,3,2019
11444,already,2,3,2019
11502,also,2,3,2019
12269,also,8,4,2019
10706,always,2,1,2019
12109,always,8,4,2019
12936,always,9,5,2019
13242,am,3,5,2019
12886,amazing,2,5,2019
12128,ambiance,2,4,2019
12688,an,4,4,2019
10802,another,2,1,2019
11410,another,3,3,2019
10885,any,2,1,2019
13023,any,4,5,2019
12356,anything.,2,4,2019
10652,appetizers,2,1,2019
12671,area,3,4,2019
11528,area.,2,3,2019
12372,around,7,4,2019
10790,asked,2,1,2019
11090,asked,2,2,2019
11609,asked,2,3,2019
12423,asked,3,4,2019
10882,at,2,1,2019
11180,at,4,2,2019
12736,at,13,4,2019
13247,at,5,5,2019
12468,attentive,2,4,2019
13125,attentive,2,5,2019
11427,available.,2,3,2019
10723,back,3,1,2019
11796,back,2,3,2019
12219,back,5,4,2019
13186,back,3,5,2019
12222,bacon,3,4,2019
12359,bad,3,4,2019
11470,banana,3,3,2019
11559,bar,3,3,2019
12352,bar,6,4,2019
12409,bar.,2,4,2019
12369,bart,2,4,2019
10686,bartender,2,1,2019
11328,bartender,2,3,2019
11698,because,2,3,2019
12599,because,3,4,2019
11616,beef,3,3,2019
12445,beef,5,4,2019
11621,been,3,3,2019
12447,been,2,4,2019
13113,been,4,5,2019
10642,before,4,1,2019
12068,before,5,4,2019
12075,better,3,4,2019
11691,big,2,3,2019
11889,bird,3,4,2019
12583,bit,3,4,2019
12989,bite,2,5,2019
11452,bland,2,3,2019
11601,both,2,3,2019
10689,bread,2,1,2019
12104,bread,2,4,2019
11633,breakfast,2,3,2019
12258,breakfast,8,4,2019
12471,breakfast,5,4,2019
11256,bring,2,3,2019
12230,brown.,2,4,2019
11349,browns,3,3,2019
12080,bruno.,2,4,2019
12700,bun,2,4,2019
11865,burger,2,4,2019
11227,burgers,3,2,2019
13196,business,2,5,2019
12323,busy,6,4,2019
13060,busy,2,5,2019
10836,but,5,1,2019
11134,but,3,2,2019
11753,but,12,3,2019
12694,but,25,4,2019
13224,but,3,5,2019
11069,by,2,2,2019
11721,by,2,3,2019
12318,calamari,3,4,2019
11013,called,2,2,2019
10950,came,8,1,2019
11236,came,3,2,2019
11525,came,4,3,2019
12309,came,5,4,2019
11160,can,2,2,2019
11333,can,2,3,2019
11991,can,9,4,2019
12872,can,3,5,2019
12516,can!,2,4,2019
13105,can't,2,5,2019
11262,carnivore,2,3,2019
11871,casual,2,4,2019
10951,charged,2,1,2019
10900,check,2,1,2019
13171,checking,2,5,2019
11443,cheese,2,3,2019
12185,cheese,3,4,2019
12317,chicken,5,4,2019
13075,chips,2,5,2019
12674,choice.,2,4,2019
11116,come,2,2,2019
11598,come,5,3,2019
12408,come,12,4,2019
13099,come,2,5,2019
12424,comes,2,4,2019
12900,coming,3,5,2019
11840,cook,2,4,2019
10939,cooked,2,1,2019
12781,cooked,3,4,2019
11532,corned,2,3,2019
12315,corned,3,4,2019
11435,could,2,3,2019
11221,crispy.,2,2,2019
12102,day,3,4,2019
12446,decent,2,4,2019
11484,decided,3,3,2019
13085,decided,2,5,2019
12303,definitely,4,4,2019
13049,definitely,2,5,2019
12983,delicious,4,5,2019
12679,delicious.,2,4,2019
11677,dense.,2,3,2019
11172,didn't,3,2,2019
12000,didn't,3,4,2019
12653,dinner,8,4,2019
12276,dinner.,2,4,2019
11856,dip,2,4,2019
12355,dipping,2,4,2019
13175,disappointed,2,5,2019
11717,disappointed.,2,3,2019
12580,dish,2,4,2019
12339,do,2,4,2019
10957,don't,2,2,2019
12061,don't,2,4,2019
12419,dough,2,4,2019
10757,drink,2,1,2019
11211,drink,3,2,2019
11269,drinks,2,3,2019
11873,drinks,5,4,2019
11376,drinks.,2,3,2019
